,Valor,Tipo,Endereco,Iptu,Condominio,m2,quartos,vagas
0,175000,Casa, Milionários ,0,0,120,3,0
1,250000,Casa, Jardim Felicidade ,0,0,150,3,3
2,550000,Apartamento, Serra ,0,978,120,3,2
3,280000,Casa, Milionários ,0,83,180,2,3
4,720000,Apartamento, Serra ,0,1513,100,3,2
5,255000,Casa em condomínio, Miramar (barreiro) ,0,100,120,2,1
6,240000,Studio e kitnet, Sagrada Família ,0,250,25,1,1
7,540000,Apartamento, Gutierrez ,0,1532,110,3,2
8,180000,Apartamento, Manacás ,0,35,73,3,1
9,530000,Apartamento, Grajaú ,0,680,79,3,2
10,699000,Apartamento, Coracao de Jesus ,0,827,70,2,1
11,649000,Apartamento, Santa Efigênia ,0,200,85,3,2
12,250000,Apartamento, Itapoã ,0,230,60,2,1
13,595000,Apartamento, Sion ,0,690,43,1,1
14,580000,Apartamento, Santa Efigênia ,0,792,68,3,2
15,205000,Apartamento, Centro ,0,450,20,1,0
16,180000,Apartamento, Manacás ,0,35,73,3,1
17,245000,Apartamento, Centro ,0,0,92,2,0
18,150000,Casa, Paraíso ,0,0,95,1,1
19,1290000,Apartamento, Lourdes ,0,1710,135,3,1
20,220000,Casa, Havaí ,0,220000,250,4,2
21,275000,Apartamento, Centro ,0,884,100,2,0
22,980000,Apartamento, Nova Suíça ,0,1410,88,3,2
23,215000,Apartamento, Centro ,0,670,140,2,0
24,255000,Apartamento, Santa Efigênia ,0,408,60,2,1
25,200000,Apartamento, Jd Vitoria ,0,200,60,2,0
26,250000,Apartamento, Santa Cruz ,0,490,75,3,1
27,390000,Apartamento, Santo Agostinho ,0,870,58,1,0
28,300000,Apartamento, Silveira ,0,625,80,4,1
29,740000,Apartamento, Coracao de Jesus ,0,1717,106,3,1
30,190000,Apartamento, São Gabriel ,0,340,44,2,1
31,330000,Studio e kitnet, Santo Agostinho ,0,437,30,1,0
32,310000,Apartamento, Centro ,0,680,130,3,0
33,800000,Apartamento, Grajaú ,0,801,93,4,2
34,300000,Casa, São Gabriel ,0,145,236,3,2
35,365000,Apartamento, Cidade Nova ,0,579,48,2,1
36,279000,Apartamento, Horto ,0,330,50,2,1
37,490000,Apartamento, Fernão Dias ,0,334,122,2,2
38,160000,Casa, Zilah Sposito ,0,0,2000,3,1
39,155000,Apartamento, Dom Silverio ,0,190,49,2,1
40,280000,Apartamento, Centro ,0,617,109,3,0
41,250000,Apartamento, Barro Preto ,0,491,61,2,0
42,450000,Apartamento, Centro ,0,603,67,3,1
43,250000,Apartamento, Novo São Lucas ,0,380,69,2,0
44,550000,Apartamento, Centro ,0,933,86,1,1
45,698000,Apartamento, Santa Tereza ,0,733,62,2,2
46,170000,Apartamento, São Tomaz ,0,123,60,2,2
47,250000,Apartamento, Santo Agostinho ,0,350,55,1,0
48,350000,Apartamento, Centro ,0,658,103,3,0
49,250000,Apartamento, Santo Agostinho ,0,350,55,1,0
50,198000,Apartamento, Nova Gameleira ,0,251,60,2,1
51,370000,Apartamento, Santa Ines ,0,579,55,2,1
52,310000,Apartamento, Santa Tereza ,0,565,63,2,1
53,380000,Apartamento, Centro ,0,856,85,2,0
54,240000,Apartamento, Barro Preto ,0,475,61,1,0
55,450000,Apartamento, Santo Agostinho ,0,982,50,2,1
56,530000,Apartamento, Barroca ,0,542,65,2,1
57,200000,Apartamento, Camargos ,0,200,52,2,1
58,150000,Casa, São Tomáz ,0,0,120,2,0
59,660000,Apartamento, Colégio Batista ,0,559,89,3,2
60,380000,Apartamento, Alto Caiçaras ,0,375,140,2,2
61,290000,Apartamento, Alto Barroca ,0,340,80,2,1
62,380000,Apartamento, Centro ,0,980,76,2,1
63,260000,Apartamento, Santa Inês ,0,145,55,2,1
64,350000,Apartamento, Lourdes ,0,650,52,1,0
65,178000,Apartamento, Lagoinha ,0,400,69,2,0
66,720000,Apartamento, Serra ,0,1513,100,3,2
67,700000,Apartamento, Floresta ,0,950,76,3,2
68,600000,Apartamento, Santo Antônio ,0,1101,110,3,2
69,630000,Apartamento, Centro ,0,1048,118,2,1
70,600000,Apartamento, Santo Antônio ,0,612,90,3,1
71,530000,Apartamento, Grajaú ,0,454,90,3,1
72,339000,Studio e kitnet, Lourdes ,0,1317,27,1,1
73,350000,Apartamento, Carlos Prates ,0,525,97,3,1
74,290000,Apartamento, Aparecida ,0,234,54,2,2
75,260000,Apartamento, Prado ,0,332,70,3,1
76,1046000,Apartamento, Santo Agostinho ,0,1116,67,2,2
77,375000,Apartamento, Nova Suíça ,0,303,70,3,2
78,280000,Casa, Milionários ,0,83,180,2,3
79,1090000,Apartamento, Gutierrez ,0,1200,125,4,2
80,380000,Apartamento, Carlos Prates ,0,342,100,3,1
81,320000,Apartamento, Sagrada Família ,0,416,68,3,1
82,280000,Apartamento, Estoril ,0,285,51,2,1
83,540000,Apartamento, Gutierrez ,0,1532,110,3,2
84,1900000,Apartamento, Gutierrez ,0,1901000,180,4,3
85,280000,Apartamento, Santa Efigênia ,0,350,60,2,1
86,640000,Apartamento, Santo Antônio ,0,1408,95,3,1
87,210000,Apartamento, São Gabriel ,0,160,75,3,1
88,350000,Apartamento, Centro ,0,684,55,1,0
89,255000,Apartamento, Horto ,0,233,55,2,1
90,265000,Apartamento, Carlos Prates ,0,250,57,3,1
91,380000,Apartamento, Castelo ,0,485,45,2,1
92,200000,Apartamento, Califórnia ,0,427,70,3,1
93,650000,Apartamento, Sion ,0,1150,170,3,1
94,460000,Apartamento, Santo Antônio ,0,1224,84,2,1
95,230000,Apartamento, Padre Eustáquio ,0,433,55,2,1
96,230000,Apartamento, Padre Eustáquio ,0,433,55,2,1
97,370000,Apartamento, Floresta ,0,383,70,2,1
98,210000,Apartamento, Havaí ,0,204,50,2,1
99,699000,Apartamento, Coracao de Jesus ,0,827,70,2,1
100,500000,Apartamento, Santa Tereza ,0,250,120,3,1
101,395000,Apartamento, Centro ,0,598,74,2,0
102,750000,Apartamento, Centro ,0,1080,220,4,1
103,250000,Apartamento, Madre Gertrudes ,0,360,95,3,1
104,259000,Apartamento, Nova Suíça ,0,499,70,2,1
105,585000,Apartamento, Luxemburgo ,0,787,156,3,1
106,210000,Apartamento, São Gabriel ,0,250,12600,3,1
107,670000,Apartamento, Barroca ,0,542,80,2,2
108,320000,Apartamento, Floresta ,0,706,75,3,1
109,950000,Apartamento, Sion ,0,1041,120,4,2
110,210000,Apartamento, Centro ,0,740,92,2,0
111,490000,Apartamento, Sagrada Família ,0,550,136,4,1
112,310000,Apartamento, Manacás ,0,770,56,2,1
113,495000,Apartamento, Serra ,0,790,130,4,2
114,285000,Apartamento, Padre Eustáquio ,0,355,60,3,1
115,255000,Apartamento, Santa Terezinha ,0,367,72,3,2
116,170000,Apartamento, Diamante ,0,120,44,2,1
117,580000,Apartamento, Gutierrez ,0,783,150,4,2
118,890000,Apartamento, Serra ,0,1205,80,3,2
119,360000,Apartamento, Serra ,0,475,70,2,1
120,399000,Apartamento, Funcionários ,0,987,34,1,1
121,300000,Casa, Paquetá ,0,100,64,2,1
122,250000,Apartamento, Sagrada Família ,0,422,50,2,1
123,160000,Apartamento, Lagoinha ,0,255,50,1,1
124,350000,Apartamento, Nova Floresta ,0,668,70,2,1
125,230000,Apartamento, Centro ,0,531,69,3,0
126,650000,Apartamento, Serra ,0,471,190,4,1
127,250000,Apartamento, Havaí ,0,0,75,3,1
128,240000,Studio e kitnet, Sagrada Família ,0,250,25,1,1
129,750000,Apartamento, Funcionários ,0,841,90,3,0
130,320000,Casa, Ipiranga ,0,0,140,3,0
131,350000,Apartamento, Nova Suíça ,0,390,72,2,1
132,290000,Apartamento, Carlos Prates ,0,567,70,3,1
133,380000,Apartamento, Santo Antônio ,0,550,100,3,1
134,590000,Apartamento, Cidade Nova ,0,510,180,4,2
135,300000,Apartamento, Nova Suíça ,0,301,89,3,1
136,255000,Casa em condomínio, Miramar (barreiro) ,0,100,120,2,1
137,390000,Apartamento, Funcionários ,0,904,58,1,1
138,550000,Apartamento, Serra ,0,978,120,3,2
139,398000,Apartamento, Cidade Nova ,0,510,70,2,1
140,299000,Apartamento, Serra ,0,342,85,3,1
141,600000,Apartamento, Santo Antônio ,0,500,125,3,1
142,450000,Apartamento, Floresta ,0,558,95,3,1
143,570000,Apartamento, Gutierrez ,0,644,102,3,1
