,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
0,R$ 175.000,R$ 0 Condo. + IPTU,120 m² · 3 quartos,Casa,"Rua Dona Luiza, Milionários · Belo Horizonte"
1,R$ 250.000,R$ 0 Condo. + IPTU,150 m² · 3 quartos · 3 vagas,Casa,"R. Josefina Guimaraes Vieira, Jardim Felicidade · Belo Horizonte"
2,R$ 700.000,R$ 577 Condo. + IPTU,150 m² · 3 quartos · 2 vagas,Apartamento,"Rua Luiza Carvalho Torres, Santo Antônio · Belo Horizonte"
3,R$ 280.000,R$ 83 Condo. + IPTU,180 m² · 2 quartos · 3 vagas,Casa,"Rua Ponta Grossa, Milionários · Belo Horizonte"
4,R$ 255.000,R$ 100 Condo. + IPTU,120 m² · 2 quartos · 1 vaga,Casa em condomínio,"Rua Três Marias, Miramar (barreiro) · Belo Horizonte"
5,R$ 180.000,R$ 35 Condo. + IPTU,73 m² · 3 quartos · 1 vaga,Apartamento,"Rua das Goiabeiras, Manacás · Belo Horizonte"
6,R$ 740.000,R$ 550 Condo. + IPTU,144 m² · 3 quartos · 1 vaga,Apartamento,"Estrada do Cercadinho, Jardim América · Belo Horizonte"
7,R$ 250.000,R$ 0 Condo. + IPTU,120 m² · 2 quartos · 1 vaga,Casa,"Rua Três Marias, Miramar (barreiro) · Belo Horizonte"
8,R$ 515.000,R$ 436 Condo. + IPTU,123 m² · 3 quartos · 2 vagas,Apartamento,"Rua Sagres, Prado · Belo Horizonte"
9,R$ 280.000,R$ 290 Condo. + IPTU,93 m² · 3 quartos · 1 vaga,Apartamento,"Rua Bueno do Prado, João Pinheiro · Belo Horizonte"
10,R$ 769.000,R$ 630 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Doutor Mario Magalhães, Itapoã · Belo Horizonte"
11,R$ 240.000,R$ 42 Condo. + IPTU,90 m² · 3 quartos,Casa,"Rua Dona Nancy de Vasconcelos Gomes, Sagrada Família · Belo Horizonte"
12,R$ 740.000,R$ 1.115 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Cônsul Walter, Buritis · Belo Horizonte"
13,R$ 235.000,R$ 100 Condo. + IPTU,50 m² · 1 quarto · 1 vaga,Apartamento,"Rua dos Ferroviários, Horto Florestal · Belo Horizonte"
14,R$ 1.090.000,R$ 400.300 Condo. + IPTU,191 m² · 4 quartos · 2 vagas,Apartamento,"Rua Oliveira, Cruzeiro · Belo Horizonte"
15,R$ 630.000,R$ 617 Condo. + IPTU,125 m² · 2 quartos · 2 vagas,Apartamento,"Rua Desembargador José Burnier, Castelo · Belo Horizonte"
16,R$ 1.100.000,R$ 814 Condo. + IPTU,156 m² · 3 quartos · 3 vagas,Apartamento,"Rua José Ribeiro, Santo Antônio · Belo Horizonte"
17,R$ 920.000,R$ 1.100 Condo. + IPTU,82 m² · 2 quartos · 2 vagas,Apartamento,"Rua Bernardo Guimarães, Lourdes · Belo Horizonte"
18,R$ 910.000,R$ 496 Condo. + IPTU,151 m² · 4 quartos · 3 vagas,Apartamento,"Rua Munhoz, Santa Rosa · Belo Horizonte"
19,R$ 360.000,R$ 250 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua Julita Nogueira Soares, Santa Terezinha · Belo Horizonte"
20,R$ 220.000,R$ 220.000 Condo. + IPTU,250 m² · 4 quartos · 2 vagas,Casa,"Rua Zilah Rodrigues, Havaí · Belo Horizonte"
21,R$ 150.000,R$ 0 Condo. + IPTU,95 m² · 1 quarto · 1 vaga,Casa,"Rua Áureliano Magalhães, Paraíso · Belo Horizonte"
22,R$ 245.000,R$ 0 Condo. + IPTU,92 m² · 2 quartos,Apartamento,"Rua da Bahia, Centro · Belo Horizonte"
